cmd :route
u8Para[0]=0,u8Para[1]=0,id=0 
 id=0,name=,times=0,time=0(us)
id=1,name=service_fpi_expands,times=0,time=0(us)
id=2,name=service_fpi_linein_changeto,times=0,time=0(us)
id=3,name=service_fpi_linein_get_current,times=0,time=0(us)
id=4,name=service_fpi_linein_get_previous,times=0,time=0(us)
id=5,name=service_fpi_linein_video_freeze,times=0,time=0(us)
id=6,name=service_fpi_linein_get_freeze_status,times=0,time=0(us)
id=7,name=service_fpi_linein_src_insert_check,times=0,time=0(us)
id=8,name=service_fpi_dtv_get_video_status,times=0,time=0(us)
id=9,name=service_fpi_linein_get_mid_initlinein_status,times=0,time=0(us)
id=10,name=service_fpi_audio_init,times=0,time=0(us)
id=11,name=service_fpi_audio_set_basic_parameters,times=0,time=0(us)
id=12,name=service_fpi_audio_set_speaker_volume,times=0,time=0(us)
id=13,name=service_fpi_audio_set_hp_volume,times=0,time=0(us)
id=14,name=service_fpi_audio_get_hp_status,times=0,time=0(us)
id=15,name=service_fpi_audio_mute,times=0,time=0(us)
id=16,name=service_fpi_audio_get_mute_status_level,times=0,time=0(us)
id=17,name=service_fpi_audio_set_equalizer,times=0,time=0(us)
id=18,name=service_fpi_audio_enable_avl,times=0,time=0(us)
id=19,name=service_fpi_audio_set_balance,times=0,time=0(us)
id=20,name=service_fpi_audio_set_stereo,times=0,time=0(us)
id=21,name=service_fpi_audio_get_detected_mts,times=0,time=0(us)
id=22,name=service_fpi_audio_set_mts,times=0,time=0(us)
id=23,name=service_fpi_audio_set_SPDIF_type,times=0,time=0(us)
id=24,name=service_fpi_audio_set_SPDIF_delay,times=0,time=0(us)
id=25,name=service_fpi_audio_set_AD_volume,times=0,time=0(us)
id=26,name=service_fpi_audio_set_AD_OnOff,times=0,time=0(us)
id=27,name=service_fpi_audio_set_delay,times=0,time=0(us)
id=28,name=service_fpi_audio_set_ktv_audio_volume,times=0,time=0(us)
id=29,name=service_fpi_audio_get_ktv_audio_volume,times=0,time=0(us)
id=30,name=service_fpi_audio_set_micro_phone_mute,times=0,time=0(us)
id=31,name=service_fpi_audio_get_mute_dev,times=0,time=0(us)
id=32,name=service_fpi_audio_set_scene,times=0,time=0(us)
id=33,name=service_fpi_audio_set_headphone_option,times=0,time=0(us)
id=34,name=service_fpi_audio_set_vol_gain,times=0,time=0(us)
id=35,name=service_fpi_audio_get_digital_channel_info,times=0,time=0(us)
id=36,name=service_fpi_audio_set_mute_for_device,times=0,time=0(us)
id=37,name=service_fpi_audio_get_mute_for_device,times=0,time=0(us)
id=38,name=service_fpi_set_audio_description_for_device,times=0,time=0(us)
id=39,name=service_fpi_audio_set_ms12_type,times=0,time=0(us)
id=40,name=service_fpi_audio_set_ms12_equalizer,times=0,time=0(us)
id=41,name=service_fpi_audio_set_ms12_sound_preset,times=0,time=0(us)
id=42,name=service_fpi_set_digital_audio_output_type,times=0,time=0(us)
id=43,name=service_fpi_audio_get_digital_info,times=0,time=0(us)
id=44,name=service_fpi_audio_set_audio_CompMode,times=0,time=0(us)
id=45,name=service_fpi_audio_set_audio_boostCutParams,times=0,time=0(us)
id=46,name=service_fpi_audio_set_bluetooth_ui_volume,times=0,time=0(us)
id=47,name=service_fpi_zoom_init,times=0,time=0(us)
